"Curation";"Variable ID";"Variable name";"Variable synonyms";"Context of use";"Growth stage";"Variable status";"Variable Xref";"Institution";"Scientist";"Date";"Language";"Crop";"Trait ID";"Trait name";"Trait class";"Trait description";"Trait synonyms";"Main trait abbreviation";"Alternative trait abbreviations";"Entity";"Attribute";"Trait status";"Trait Xref";"Method ID";"Method name";"Method class";"Method description";"Formula";"Method reference";"Scale ID";"Scale name";"Scale class";"Decimal places";"Lower limit";"Upper limit";"Scale Xref";"Category 1";"Category 2";"Category 3";"Category 4";"Category 5";"Category 6";"Category 7";"Category 8";"Category 9";"Category 10"
;"CO_321:1000126";"NHI_%";"Nitrogen harvest index";;;;"WIPO:0000126";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010041";"Nitrogen harvest index";"Quality";;;;;;;;;"CO_321:1021040";"undefined";"Estimation";"Unavailable method description";;;"UO:0000187";"%";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000187";;;;;;;;;;
;"CO_321:1000083";"NNI.Z65_%";"Nitrogen nutrition index at anthesis (Z65)";;"Z65 (Anthesis half-way (anthers occurring half way to tip and base of ear))";;"WIPO:0000083";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010025";"Nitrogen nutrition index";"Quality";;;;;;;;;"CO_321:1021052";"undefined";"Estimation";"Unavailable method description";;;"UO:0000187";"%";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000187";;;;;;;;;;
;"CO_321:1000084";"NNI.Z91_%";"Nitrogen nutrition index at harvest (Z91)";;"Z91 (Grain hard, difficult to divide)";;"WIPO:0000084";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010025";"Nitrogen nutrition index";"Quality";;;;;;;;;"CO_321:1021051";"undefined";"Estimation";"Unavailable method description";;;"UO:0000187";"%";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000187";;;;;;;;;;
;"CO_321:1000164";"SEN-F1.Z75_%";"Leaf F1 senescence (Z75)";;"Z75 (Medium milk)";;"WIPO:0000164";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010000";"Leaf senescence";"Morphological";;;;;;;;;"CO_321:1021024";"undefined";"Estimation";"Unavailable method description";;;"UO:0000187";"%";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000187";;;;;;;;;;
;"CO_321:1000165";"SEN-F1.Z80_%";"Leaf F1 senescence (Z80)";;"Z80 (Kernel no longer watery but still soft and dough-like.)";;"WIPO:0000165";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010000";"Leaf senescence";"Morphological";;;;;;;;;"CO_321:1021023";"undefined";"Estimation";"Unavailable method description";;;"UO:0000187";"%";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000187";;;;;;;;;;
;"CO_321:1000166";"SEN-F2.Z75_%";"Leaf F2 senescence (Z75)";;"Z75 (Medium milk)";;"WIPO:0000166";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010000";"Leaf senescence";"Morphological";;;;;;;;;"CO_321:1021022";"undefined";"Estimation";"Unavailable method description";;;"UO:0000187";"%";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000187";;;;;;;;;;
;"CO_321:1000167";"SEN-F2.Z80_%";"Leaf F2 senescence (Z80)";;"Z80 (Kernel no longer watery but still soft and dough-like.)";;"WIPO:0000167";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010000";"Leaf senescence";"Morphological";;;;;;;;;"CO_321:1021021";"undefined";"Estimation";"Unavailable method description";;;"UO:0000187";"%";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000187";;;;;;;;;;
;"CO_321:1000017";"AWN_B-NB";"Awnedness";;;;"WIPO:0000017";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010102";"Awnedness";"Morphological";;;;;;;;;"CO_321:1021071";"undefined";"Estimation";"Unavailable method description";;;"CO_321:1030005";"B-NB";"Numerical";;;;;;;;;;;;;;
;"CO_321:1000021";"FUS-INOC+350DD_dd";"350DD post fusarium inoculation date (INOC+350DD)";;"INOC+350DD";;"WIPO:0000021";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010007";"Real number of degree-days from inoculation to first notation";"Biotic stress";;;;;;;;;"CO_321:1021069";"undefined";"Estimation";"Unavailable method description";;;"CO_321:1030013";"dd";"Duration";;;;;;;;;;;;;;
;"CO_321:1000022";"FUS-INOC+450DD_dd";"450DD post fusarium inoculation date (INOC+450DD)";;"INOC+450DD";;"WIPO:0000022";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010103";"Real number of degree-days from inoculation to second notation";"Biotic stress";;;;;;;;;"CO_321:1021068";"undefined";"Estimation";"Unavailable method description";;;"CO_321:1030013";"dd";"Duration";;;;;;;;;;;;;;
;"CO_321:1000071";"GPS";"Grains per spike";;"Z92 (Grain hard, not dented by thumbnail)";;"WIPO:0000071";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:0000038";"Grain number per spike";"Agronomical traits";"Number of grains per spike.";"Kernel number per spike, grains per spike";"GrnSpk";"GRNSPK";"Spike";"Grain number";;"WIPO:0010125";"CO_321:1021058";"Direct measure";"Estimation";"Unavailable method description";;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
;"CO_321:1000057";"FSPS";"Fertile spikelets per spike";;"Z92 (Grain hard, not dented by thumbnail)";;"WIPO:0000057";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:0000058";"Spikelet number";"Agronomical traits";"Number of spikelets per spike.";"Fertile spikelets per spike, spikelet / spike";"SplN";"SplNo";"Spikelet";"Number";;;"CO_321:1021060";"Direct measure";"Estimation";"Unavailable method description";;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
;"CO_321:1000073";"PLOT-GW_g";"Plot grain weight / GDM.Z92_kg WIPO:0000061";;"Z92 (Grain hard, not dented by thumbnail)";;"WIPO:0000073";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:0000025";"Grain weight";"Agronomical traits";"Grain weight usually expressed as weight of single, one hundred, two hundred or thousand grains.";"kernel weight";"GW";"GrnWt, GrnW, KW, KrnWt";"Grain";"Weight";;"WIPO:0010073,WIPO:0010111";"CO_321:1021057";"undefined";"Estimation";"Unavailable method description";;;"CO_321:1030010";"g";"Numerical";;;;;;;;;;;;;;
;"CO_321:1000077";"GY15.bot_g";"Grain dry matter per sample";;"Z92 (Grain hard, not dented by thumbnail)";;"WIPO:0000077";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010117";"Grain dry matter per sample";"Agronomical";;;;;;;;;"CO_321:1021056";"undefined";"Estimation";"Unavailable method description";;;"CO_321:1030010";"g";"Numerical";;;;;;;;;;;;;;
;"CO_321:1000118";"ABSN.Z65_g/m2";"Above-ground nitrogen per area at anthesis";;"Z65 (Anthesis half-way (anthers occurring half way to tip and base of ear))";;"WIPO:0000118";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010045";"Above-ground nitrogen per area";"Agronomical";;;;;;;;;"CO_321:1021041";"undefined";"Estimation";"Unavailable method description";;;"CO_321:1030003";"g/m2";"Numerical";;;;;;;;;;;;;;
;"CO_321:1000133";"STR-NA.Z92_kg/ha";"Straw nitrogen per area (Z92)";;"Z92 (Grain hard, not dented by thumbnail)";;"WIPO:0000133";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010043";"Straw nitrogen content";"Morphological";"Straw = (stem + leaf + shaff)";;;;;;;;"CO_321:1021039";"undefined";"Estimation";"Unavailable method description";;;"UO:0000283";"kg/ha";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000283";;;;;;;;;;
;"CO_321:1000135";"ABSN.Z92_kg/ha";"Above-ground nitrogen per area at harvest";;"Z92 (Grain hard, not dented by thumbnail)";;"WIPO:0000135";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010045";"Above-ground nitrogen per area";"Agronomical";;;;;;;;;"CO_321:1021037";"undefined";"Estimation";"Unavailable method description";;;"UO:0000283";"kg/ha";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000283";;;;;;;;;;
;"CO_321:1000137";"ABSN.Z91_g/m2";"Above-ground nitrogen per area at harvest";;"Z91 (Grain hard, difficult to divide)";;"WIPO:0000137";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010045";"Above-ground nitrogen per area";"Agronomical";;;;;;;;;"CO_321:1021036";"undefined";"Estimation";"Unavailable method description";;;"CO_321:1030003";"g/m2";"Numerical";;;;;;;;;;;;;;
;"CO_321:1000208";"SOIL-WR";"Soil water reserve";;;;"WIPO:0000208";"INRAE";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"CO_321:1010085";"Soil water reserve";"Environment";;;;;;;;;"CO_321:1021012";"undefined";"Estimation";"Unavailable method description";;;"CO_321:1030109";"N.A";;;;;;;;;;;;;;;
